,headline,date,summary,content,link
0,"Índice de Precios de Productor (IPP) Industrias decrece interanualmente un 1,9%  en marzo impulsado por la minería",24/04/2023,"La extracción y procesamiento de cobre fue la clase que más influyó en la variación a doce meses del sector minería.  

 ","
Un descenso interanual de 1,9% registró el Índice de Precios de Productor (IPP) de Industrias (agregación de los sectores manufactura, minería y electricidad, gas y agua) en marzo de 2023, acumulando una variación de -1,4% al tercer mes del año, según informó esta mañana el Instituto Nacional de Estadísticas (INE). 

El Índice de Precios de Productor de Minería (IPPMin) fue el que más influyó en el resultado a doce meses del IPP de Industrias, al presentar una disminución de 8,8% respecto de marzo de 2022, acumulando -0,5% en lo que va del año; extracción y procesamiento de cobre fue la clase más influyente, con una baja de un 12,6%. 

En tanto, el Índice de Precios de Productor Industria Manufacturera (IPPMan) presentó una variación a doce meses de 8,8%, acumulando -2,6% a marzo de 2023. La clase que más destacó por su incidencia positiva en el resultado interanual del indicador fue fabricación de sustancias químicas básicas, con un alza de 35,2%.  

Por último, el Índice de Precios de Distribución de Electricidad, Gas y Agua (IPDEGA) creció un 5,4% respecto del mismo mes del año anterior y acumuló -1,8% al tercer mes de 2023. La clase que más incidió positivamente en la variación interanual del índice fue captación, tratamiento y distribución de agua, con un aumento de 14,9%.   

Boletín Índice de Precios de Productor (IPP) Industrias marzo 2023




Imagen: Codelco/Creative Commons
",http://www.ine.gob.cl/sala-de-prensa/prensa-economia/indices-de-precios-e-inflacion/noticia/2023/04/24/índice-de-precios-de-productor-(ipp)-industrias-decrece-interanualmente-un-1-9-en-marzo-impulsado-por-la-minería
1,"Índice de Costos del Transporte registró una variación mensual de -1,5% en marzo ",19/04/2023,"El resultado se explicó, principalmente, por la disminución del grupo combustibles. 

 ","
Un descenso mensual de 1,5% presentó en marzo de 2023 el Índice de Costos del Transporte (ICT), acumulando con ello una variación de -0,7% en lo que va del año, informó esta mañana el Instituto Nacional de Estadísticas (INE).

El resultado del mes se explicó, principalmente, por la disminución del grupo combustibles (-2,8%), que incidió -0,969 puntos porcentuales sobre la variación mensual del ICT general. 

En tanto, recursos humanos se redujo 1,3% respecto a febrero, con una incidencia de -0,483 puntos porcentuales, mientras que servicios financieros anotó una variación mensual de -0,8%, con una incidencia de -0,080 puntos porcentuales. 

Por su parte, repuestos y accesorios para el funcionamiento y mantención del vehículo descendió 0,3% en comparación con el mes anterior, incidiendo -0,027 puntos porcentuales. 

Finalmente, otros servicios relativos al equipo de transporte anotó un alza mensual de 0,2%, aportando 0,015 puntos porcentuales. 

Boletín Índice de Costos del Transporte (ICT) marzo de 2023 
",http://www.ine.gob.cl/sala-de-prensa/prensa-economia/indices-de-precios-e-inflacion/noticia/2023/04/19/índice-de-costos-del-transporte-registró-una-variación-mensual-de--1-5-en-marzo
2,Primera reunión 2023 del Comité de Expertos del IPC,17/04/2023,"• Esta instancia agrupa a connotados economistas nacionales, con el objetivo de analizar los principales avances metodológicos que el organismo está llevando a cabo respecto a este indicador.","El pasado viernes 14 de abril se realizó la primera reunión del Comité de Expertos IPC que asesora al INE en esta materia. La directora nacional (s) del INE, Daniela Moraga, inició la reunión y aprovechó la oportunidad para anunciar algunos de los lineamientos que desarrollará el trabajo en torno al indicador durante 2023: “desde enero de este año comenzamos a recolectar los precios de la canasta del nuevo año base 2023=100, que será publicado en febrero de 2024. Esto siguiendo el calendario de actualizaciones quinquenales del IPC que se encuentra alineado a las recomendaciones de la OCDE”, señaló.
“Como ya les habíamos adelantado el último comité del año pasado, tomando la información parcial producida hasta el momento por la IX Encuesta de Presupuestos Familiares (EPF), hemos construido un conjunto de variedades amplias de productos y servicios para comenzar a recolectar lo que se convertirá en la nueva canasta de productos y servicios del IPC Base 2023 = 100. Una vez que tengamos procesados los resultados finales de la IX EPF, podremos preparar la canasta definitiva de la base 2023 durante el segundo semestre de este año. Junto con lo anterior podremos definir la composición de los indicadores analíticos que acompañarán a la nueva base; y una de las innovaciones que tendrá la nueva canasta será el uso de la actualización 2018 de la Clasificación del Consumo Individual según Finalidades - CCIF (o COICOP por sus siglas en inglés), que es el clasificador que utiliza tanto la EPF como IPC y que trae cambios en el nivel de desagregación de algunos productos y servicios”, finalizó Moraga.
La exposición estuvo a cargo de Cristián Copaja, jefe del Departamento de Estadística de Precios de la Subdirección Técnica, quien analizó el estado de la recolección de precios, así como el análisis de los resultados de la última coyuntura, la compasión internacional y la actualización del Año Base 2023=100, entre otros tópicos.
“El impacto de la pandemia fue bastante disruptivo en el proceso de recolección del IPC, lo que se ha ido normalizando con el tiempo. La tasa media de imputación en 2019 era de 8,77%; mientras en 2020, ya con la pandemia, la tasa de imputación llegó a 24,09%, la que disminuyó en 2021, con 21,77%, luego en 2022 promedió 15,91% y en marzo de este año tenemos una tasa de imputación de 12,2%, la que esperamos siga bajando durante este año y volver a tasas normales de imputación durante el segundo semestre. Adicionalmente, hemos tenido una mejora en la tasa de imputación al incorporar nuevos métodos de recolección de datos, donde ha sido un factor muy importante el trabajo que hemos llevado a cabo con grandes cadenas de supermercados y del retail”, señaló.
“Respecto al resto del mundo, al revisar la prensa económica, podemos apreciar que el fenómeno inflacionario es un fenómeno mundial; y prácticamente todas las grandes economías están enfrentando fenómenos inflacionarios durante 2022 y en esta primera parte de 2023. La pandemia y la guerra en Ucrania han impactado en los resultados internacionales, lo que se evidencia en que los resultados a 12 meses del IPC, en el tercer mes del año 2023, se encuentran muy por encima de los valores de los últimos años (2011-2021)”, agregó.
Respecto a la actualización del Año Base 2023=100, Cristián Copaja señaló que “una de las novedades de este proceso es que la Encuesta de Presupuestos Familiares (EPF)adopta la versión 2018 de la Clasificación del Consumo Individual por Finalidades (CCIF), la cual actualiza la versión 1999 utilizada anteriormente. Este cambio implica un aumento en el número de divisiones y del contenido de algunas de éstas, además de un mayor detalle en la composición de la canasta. Por otra parte, la nueva estructura considera 13 divisiones, una más que la actual canasta. Esto permitirá un ordenamiento más racional de su composición al separar de la división de bienes y servicios diversos los grupos de seguros y servicios financieros, agregando además un mayor nivel de precisión en algunos de los productos o servicios dentro de la canasta, como pasajes aéreos, lo que dependerán del destino nacional o internacional. Otra novedad que se implementará dice relación con el uso intensivo de técnicas de recolección de datos no tradicionales, como la recolección automatizada de sitios web (Webscrapping) o el uso de registros provenientes directamente de las empresas (Scanner data)”, finalizó.
La exposición completa de la primera sesión del Comité de Expertos del Índice de Precios al Consumidor (IPC) del INE, está disponible en el siguiente enlace: https://youtu.be/YBAMCLI8MTI

Presentación Comité de Expertos - Índice de Precios al Consumidor (IPC) - 14 de abril de 2023",http://www.ine.gob.cl/sala-de-prensa/prensa-economia/indices-de-precios-e-inflacion/noticia/2023/04/17/primera-reunión-2023-del-comité-de-experto-del-ipc
3,"IPC de marzo presentó una variación mensual de 1,1%",6/04/2023,"Destacaron los aumentos de educación y de recreación y cultura, y el descenso de transporte.","En marzo de 2023, el Índice de Precios al Consumidor (IPC) anotó una variación mensual de 1,1%, acumulando un incremento de 1,8% al tercer mes del año, y un aumento de 11,1% a doce meses. 

Nueve de las doce divisiones que conforman la canasta del IPC aportaron incidencias positivas en la variación mensual del índice y tres incidieron en forma negativa.

Entre las divisiones con alzas en sus precios destacó educación (10,8%), que aportó 0,659 puntos porcentuales, y recreación y cultura (2,2%), con 0,144 puntos porcentuales.

Entre las divisiones con descensos en sus precios destacó transporte (-0,7%), con -0,097 puntos porcentuales.

Boletín IPC marzo 2023
Separata técnica imputaciones IPC marzo 2023
Cuadro estadístico resultados IPC marzo 2023",http://www.ine.gob.cl/sala-de-prensa/prensa-economia/indices-de-precios-e-inflacion/noticia/2023/04/06/ipc-de-marzo-presentó-una-variación-mensual-de-1-1
4,"Índice de Precios de Productor (IPP) Industrias decrece interanualmente un 1,6% en febrero impulsado por minería    ",24/03/2023,"La extracción y procesamiento de cobre fue la clase que más influyó en la variación a doce meses del sector de minería.  

 ","Un descenso interanual de 1,6% registró el Índice de Precios de Productor (IPP) de Industrias (agregación de los sectores manufactura, minería y electricidad, gas y agua) en febrero de 2023, acumulando una variación de –2,0% al segundo mes del año, según informó esta mañana el Instituto Nacional de Estadísticas (INE).  

El Índice de Precios de Productor de Minería (IPPMin) fue el que más influyó en el resultado a doce meses del IPP de Industrias, al presentar una disminución de 9,8% respecto de febrero de 2022, acumulando -2,1% en lo que va del año; extracción y procesamiento de cobre fue la clase más influyente, con una baja de un 10,9%. 

En tanto, el Índice de Precios de Distribución de Electricidad, Gas y Agua (IPDEGA) creció un 7,2% respecto del mismo mes del año anterior y acumuló -1,1% al segundo mes de 2023. La clase que más incidió positivamente en la variación interanual del índice fue captación, tratamiento y distribución de agua, con un aumento de 15,1%.  

Por último, el Índice de Precios de Productor Industria Manufacturera (IPPMan) presentó una variación a doce meses de 11,2%, acumulando -2,2% a febrero de 2023. La clase que más destacó por su incidencia positiva en el resultado interanual del indicador fue elaboración de productos de panadería, con un alza de 22,1%.   

Boletín Índice de Precios de Productor (IPP) Industrias febrero 2023  ",http://www.ine.gob.cl/sala-de-prensa/prensa-economia/indices-de-precios-e-inflacion/noticia/2023/03/24/índice-de-precios-de-productor-(ipp)-industrias-decrece-interanualmente-un-1-6-en-febrero-impulsado-por-minería
5,"Índice de Costos del Transporte registró una    variación mensual de -0,3% en febrero",20/03/2023,"El resultado se explicó, principalmente, por la disminución del grupo combustibles. 

 ","
Un descenso mensual de 0,3% anotó en febrero de 2023 el Índice de Costos del Transporte (ICT), acumulando 0,9% en lo que va del año, según informó el Instituto Nacional de Estadísticas (INE). El resultado del mes se explicó, principalmente, por la disminución del grupo combustibles (-3,6%), que incidió -1,300 puntos porcentuales sobre la variación mensual del ICT general. 

En tanto, otros servicios relativos al equipo de transporte registró un alza de 0,3% respecto a enero y aportó 0,027 puntos porcentuales, mientras que repuestos y accesorios para el funcionamiento y mantención del vehículo anotó un incremento mensual de 0,9%, con una incidencia de 0,076 puntos porcentuales. 

Por su parte, servicios financieros aumentó 4,4% en comparación con el mes anterior, contribuyendo con 0,420 puntos porcentuales. 

Finalmente, recursos humanos consignó una variación mensual de 1,4%, con una incidencia de 0,511 puntos porcentuales. 

Boletín Índice de Costos del Transporte (ICT) febrero de 2023 
",http://www.ine.gob.cl/sala-de-prensa/prensa-economia/indices-de-precios-e-inflacion/noticia/2023/03/20/índice-de-costos-del-transporte-registró-una-variación-mensual-de--0-3-en-febrero
6,"IPC de febrero presentó una variación mensual de -0,1%",8/03/2023,"Destacaron los descensos de transporte y de alimentos y bebidas no alcohólicas, y el alza de vestuario y calzado.","En febrero de 2023, el Índice de Precios al Consumidor (IPC) anotó una variación mensual de -0,1%, acumulando un incremento de 0,7% al segundo mes del año, y un aumento de 11,9% a doce meses. 

Tres de las doce divisiones que conforman la canasta del IPC aportaron incidencias negativas en la variación mensual del índice, siete incidieron en forma positiva y dos anotaron nula incidencia.

Las divisiones con descensos en sus precios fueron  transporte (-2,7%), con -0,396 puntos porcentuales; alimentos y bebidas no alcohólicas (-0,3%), con -0,064 puntos porcentuales, y recreación y cultura (-1,0%), con -0,064 puntos porcentuales.

Entre las divisiones con alzas en sus precios destacó vestuario y calzado (3,9%), con 0,110 puntos porcentuales.

Boletín IPC febrero 2023
Separata técnica imputaciones IPC febrero 2023
Cuadro estadístico resultados IPC febrero 2023",http://www.ine.gob.cl/sala-de-prensa/prensa-economia/indices-de-precios-e-inflacion/noticia/2023/03/08/ipc-de-febrero-presentó-una-variación-mensual-de--0-1
7,"Índice de Precios de Productor (IPP) Industrias crece interanualmente un 3,0% en enero impulsado por manufactura   ",24/02/2023,"La fabricación de pasta de madera, papel y cartón fue la clase que más influyó en la variación a doce meses del sector manufacturero.  

 ","
Un aumento interanual de 3,0% registró el Índice de Precios de Productor (IPP) de Industrias (agregación de los sectores manufactura, minería y electricidad, gas y agua) en enero de 2023, acumulando nula variación al primer mes del año, según informó esta mañana el Instituto Nacional de Estadísticas (INE). 

El Índice de Precios de Productor Industria Manufacturera (IPPMan) fue el que más influyó en la variación a doce meses del IPP de Industrias, al incrementarse  un 13,2% respecto de enero de 2022, acumulando -1,5% en lo que va del año; fabricación de pasta de madera, papel y cartón fue la clase más influyente, con un alza de un 23,0%. 

En tanto, el Índice de Precios de Distribución de Electricidad, Gas y Agua (IPDEGA) creció un 8,0% respecto del mismo mes del año anterior y acumuló -0,6% al primer mes de 2023. La clase que más incidió positivamente en la variación interanual del índice fue captación, tratamiento y distribución de agua, con un aumento de 17,1%.  

Por último, el Índice de Precios de Productor de Minería (IPPMin) presentó una variación a doce meses de -3,4%, acumulando 1,2% a enero de 2023. La clase que más destacó por su incidencia negativa en el resultado interanual del indicador fue extracción y procesamiento de cobre, con una baja de 7,5%.   

Boletín Índice de Precios de Productor (IPP) Industrias enero 2023 
",http://www.ine.gob.cl/sala-de-prensa/prensa-economia/indices-de-precios-e-inflacion/noticia/2023/02/24/índice-de-precios-de-productor-(ipp)-industrias-crece-interanualmente-un-3-0-en-enero-impulsado-por-manufactura
8,"Índice de Costos del Transporte registró una variación mensual de 1,1% en enero ",20/02/2023,"El resultado se explicó, principalmente, por el aumento del grupo recursos humanos. ","Un alza mensual y acumulada de 1,1% anotó en enero el Índice de Costos del Transporte (ICT), informó esta mañana el Instituto Nacional de Estadísticas (INE). La variación del mes se explicó, principalmente, por el aumento del grupo recursos humanos (4,0%), que incidió 1,466 puntos porcentuales sobre la variación mensual del ICT general. 

En tanto, otros servicios relativos al equipo de transporte registró un incremento de 4,9% respecto a diciembre de 2022 y aportó 0,408 puntos porcentuales, mientras que repuestos y accesorios para el funcionamiento y mantención del vehículo anotó una variación mensual de 1,0%, con una incidencia de 0,087 puntos porcentuales. 

Por su parte, servicios financieros presentó un descenso de 2,4% en comparación con el mes anterior, con una incidencia de -0,243 puntos porcentuales. 

Finalmente, combustibles consignó una variación mensual de -1,6%, incidiendo -0,593 puntos porcentuales. 

Boletín Índice de Costos del Transporte (ICT) enero de 2023",http://www.ine.gob.cl/sala-de-prensa/prensa-economia/indices-de-precios-e-inflacion/noticia/2023/02/20/índice-de-costos-del-transporte-registró-una-variación-mensual-de-1-1-en-enero
9,"IPC de enero presentó un aumento mensual de 0,8%",8/02/2023,"Destacaron las alzas de alimentos y bebidas no alcohólicas y de bebidas alcohólicas y tabaco, y el descenso de transporte.","En enero de 2023, el Índice de Precios al Consumidor (IPC) anotó un aumento mensual de 0,8% y un alza de 12,3% a doce meses.

Once de las doce divisiones que conforman la canasta del IPC aportaron incidencias positivas en la variación mensual del índice y una incidió en forma negativa.

Entre las divisiones con incrementos en sus precios destacaron alimentos y bebidas no alcohólicas (1,0%), con 0,227 puntos porcentuales, y bebidas alcohólicas y tabaco (2,7%), con 0,121 puntos porcentuales. 

La división que incidió en forma negativa fue transporte (-0,2%), con -0,029 puntos porcentuales.

Boletín IPC enero 2023
Separata técnica imputaciones IPC enero 2023
Cuadro estadístico resultados IPC enero 2023",http://www.ine.gob.cl/sala-de-prensa/prensa-economia/indices-de-precios-e-inflacion/noticia/2023/02/08/ipc-de-enero-presentó-un-aumento-mensual-de-0-8
